Date,Type of Aircraft,Operator,Place,Fatality,Detail link,References
1946 May 7,Douglas C-47 Skytrain (DC-3),Royal Air Force,"Simara, Narayani",0,,[citation needed]
1955 August 30,Douglas C-47 Skytrain (DC-3),Kalinga Airlines,"Simara, Narayani",2,,[citation needed]
1960 May 5,Pilatus PC-6 Turbo Porter,Swiss Dhaulagiri Expendition,Nepal,0,,[1]
1960 November 5,Douglas DC-3,Royal Nepal Airlines,Nepal,4,,[1]
1961 March 22,Douglas DC-3,PIA,"Nepal, Nepal",0,,[1]
1961 March 9,De Havilland DHC-6 Turbo Porter,Royal Nepal Airlines,"Nepal, Nepal",0,,[1]
1962 August 1,Douglas C-47 Skytrain (DC-3),Royal Nepal Airlines,"Tulachan Dhuri, Nepal",10,1962 Royal Nepal Airlines DC-3 crash,[1]
1962 August 26,Pilatus PC-6 Turbo Porter,Royal Nepal Airlines,Nepal,0,,[1]
1967 February 8,Pilatus PC-6 Turbo Porter,Swiss Government,Nepal,0,,[1]
1969 July 12,Douglas C-47 Skytrain (DC-3),Royal Nepal Airlines,"Nepalgunj, Bheri",0,,[1]
1969 July 12,Douglas DC-3,Royal Nepal Airlines,"Hetauda, Narayani",35,1969 Royal Nepal Airlines DC-3 crash,[1]
1970 February 27,De Havilland DHC-6 Twin Otter,Royal Nepalese Air Force,Jomshom Dhawalagiri,1,,[1]
1972 September 13,Douglas C-47 Skytrain (DC-3),Royal Nepalese Air Force,"Kathmandu, Bagmati",31,,[1]
1973 May 10,Douglas DC-8-33,Thai,"Tribhuvan International Airport Kathmandu, Bagmati",1,,[1]
1973 October 15,De Havilland DHC-6 Twin Otter,Royal Nepal Airlines,"Lukla, Sagarmatha",0,,[1]
1975 March 31,Pilatus PC-6 Turbo Porter,Royal Nepal Airlines,"Kathmandu, Bagmati",5,1975 Royal Nepal Airlines Pilatus PC-6 Porter crash,[1]
1978 April 7,Short SC.7 Skyvan Variant,Royal Nepalese Air Force,"Rukumkot, Rapti",0,,[1]
1981 November 19,Pilatus PC-6 Turbo Porter,Royal Nepal Airlines,"Biratnagar, Koshi",10,,[1]
1984 December 22,De Havilland DHC-6 Twin Otter,Royal Nepal Airlines,"Bhojpur, Koshi",15,,[1]
1985 December 30,Short SC.7 Skyvan Variant,Royal Nepalese Air Force,"Nepal, Nepal",25,,[1]
1986 May 3,De Havilland DHC-6 Twin Otter,Royal Nepal Airlines,"Namche Bazar, Sagarmatha",11,,[1]
1991 July 10,De Havilland DHC-6 Twin Otter,Royal Nepalese Air Force,"SurKhet, Bheri",3,,[1]
1991 June 20,De Havilland DHC-6 Twin Otter,Royal Nepal Airlines,"Simikot, Karnali",0,,[1]
1991 June 9,De Havilland DHC-6 Twin Otter,Royal Nepal Airlines,"Lukla, Sagarmatha",0,,[1]
1992 September 26,Harbin Yunsunji Y-12,Royal Nepal Airlines,"Lukla,",0,,[1]
1992 July 5,De Havilland DHC-6 Twin Otter,Royal Nepal Airlines,"Jumla, karnali",0,,[1]
1993 November 8,Harbin Yunsunji Y-12,Nepal Airways,"Jomsom, Dhawalagiri",0,1993 Everest Air Dornier 228 crash,[1]
1995 January 17,De Havilland DHC-6 Twin Otter,Royal Nepal Airlines,"Kathmandu, Bagmati",2,,[1]
1996 April 25,Avro 748,Royal Nepal Airlines,"Meghuli, Narayani",0,,[1]
1997 November 6,Avro 748,Necon Air,"Pokhara, Gandaki",0,,[1]
1998 November 19,Pilatus PC-6 Turbo Porter,Royal Nepal Airlines,"Namche Bazar, Sagarmatha",1,,[1]
1998 August 21,De Havilland DHC-6 Twin Otter,Lumbini Airways,"Pokhara, Gandaki",18,,[1]
1999 December 25,De Havilland DHC-6 Twin Otter,Skyline Airways,"Simara, Nararayani",10,,[1]
1999 September 5,Avro 748,Necon Air,"Kathmandu, Bagmati",15,1999 Necon Air Flight 128,[1]
1999 August 7,Short SC.7 Skyvan Variant,Royal Nepalese Air Force,"Surkhet, Bheri",0,,[1]
1999 January 17,Cessna 208 Caravan,Necon Air,"Jumla, Karnali",5,,[1]
2000 July 27,De Havilland DHC-6 Twin Otter,Royal Nepal Airlines,"Dhangadi, Seti",25,2000 Royal Nepal Airlines Twin Otter crash,[1]
2002 August 22,De Havilland DHC-6 Twin Otter,Shangri-la,"Pokhara, Gandaki",18,2002 Shangri-La Air Twin Otter crash,[1]
2002 July 17,De Havilland DHC-6 Twin Otter,Skyline Airways,"Surkhet, Bheri",4,,[1]
2004 May 25,De Havilland DHC-6 Twin Otter,Yeti Airlines,"Lukla, Sagarmatha",3,,[1]
2005 June 30,Dornier DO228,Gorkha Airlines,Lukla,0,,[1]
2006 June 21,De Havilland DHC-6 Twin Otter,Yeti Airlines,"Jumla, Karnali",9,2006 Yeti Airlines Twin Otter crash,[1]
2008 October 8,De Havilland DHC-6 Twin Otter,Yeti Airlines,"Lukla, Sagarmatha",18,2008 Yeti Airlines Flight 101,[1]
2010 December 15,De Havilland DHC-6 Twin Otter,Tara Airlines,"Nepal, Nepal",22,2010 Tara Air Twin Otter crash,[1]
2010 August 24,Dornier DO228,Agni Air,"Kathmandu, Bagmati",14,2010 Agni Air Flight 101,[1]
2011 October 18,Britten-Normal Islander,Royal Nepalese Air Force,"Nepal, Nepal",6,,[1]
2011 September 25,Beechcraft 1900D,Buddha Air,"Kathmandu, Bagmati",19,2011 Buddha Air Flight 103,[1]
2012 September 28,Dornier DO228,Sita Air,"Kathmandu, Bagmati",19,2012 Sita Air Flight 601,[1]
2012 May 14,Dornier DO228,Agni Air,"Jomsom, Dhawalagiri",15,2012 Agni Air Dornier 228 crash,[1]
